"tf","fam","target","dna_binding.conservation","dna_binding.dapSeq","coDiffExp_0PF","coDiffExp_P0F","coDiffExp_0P0F","coDiffExp","p.rf","rank","mode_of_regulation"
"AT1G77200","AP2/ERF-ERF","AT4G02150",0,1,0,0,0,0,0.966625707180212,1.96662570718021,"activation"
"AT3G16280","AP2/ERF-ERF","AT5G64390",0,1,0,0,0,0,0.966604738159843,1.96660473815984,"activation"
"AT5G54230","MYB","AT4G36900",0,1,0,0,0,0,0.966550218706882,1.96655021870688,"activation"
"AT3G16280","AP2/ERF-ERF","AT4G03950",0,1,0,0,0,0,0.96650408686207,1.96650408686207,"activation"
"AT3G16280","AP2/ERF-ERF","AT3G20040",0,1,0,0,0,0,0.966474730233553,1.96647473023355,"repression"
"AT5G54230","MYB","AT4G27500",0,1,0,0,0,0,0.966428598388741,1.96642859838874,"repression"
"AT3G16280","AP2/ERF-ERF","AT5G25350",0,1,0,0,0,0,0.966348916111337,1.96634891611134,"repression"
"AT5G07700","MYB","AT2G26380",0,0,0,0,1,1,0.966340528503189,1.96634052850319,"activation"
"AT1G77200","AP2/ERF-ERF","AT5G07720",0,1,0,0,0,0,0.966323753286894,1.96632375328689,"activation"
"AT1G77200","AP2/ERF-ERF","AT3G28040",0,1,0,0,0,0,0.966298590462451,1.96629859046245,"activation"
"AT1G77200","AP2/ERF-ERF","AT5G63840",0,1,0,0,0,0,0.966290202854303,1.9662902028543,"activation"
"AT3G16280","AP2/ERF-ERF","AT1G19110",0,1,0,0,0,0,0.966176970144309,1.96617697014431,"activation"
"AT1G77200","AP2/ERF-ERF","AT4G22250",0,1,0,0,0,0,0.966093094062832,1.96609309406283,"activation"
"AT3G16280","AP2/ERF-ERF","AT4G39660",0,1,0,0,0,0,0.965988248960985,1.96598824896099,"repression"
"AT4G17490","AP2/ERF-ERF","AT4G34710",0,0,0,0,1,1,0.965946310920246,1.96594631092025,"activation"
"AT5G54230","MYB","AT5G57840",0,1,0,0,0,0,0.965875016250991,1.96587501625099,"activation"
"AT1G77200","AP2/ERF-ERF","AT3G27360",0,1,0,0,0,0,0.965770171149144,1.96577017114914,"activation"
"AT5G54230","MYB","AT4G09670",0,1,0,0,0,0,0.965749202128775,1.96574920212877,"activation"
"AT3G16280","AP2/ERF-ERF","AT2G22390",0,1,0,0,0,0,0.965619194202485,1.96561919420249,"activation"
"AT1G77200","AP2/ERF-ERF","AT5G12340",0,1,0,0,0,0,0.965615000398411,1.96561500039841,"repression"
"AT5G54230","MYB","AT5G02620",0,1,0,0,0,0,0.965501767688417,1.96550176768842,"activation"
"AT1G77200","AP2/ERF-ERF","AT4G37295",0,1,0,0,0,0,0.965497573884343,1.96549757388434,"repression"
"AT1G77200","AP2/ERF-ERF","AT1G63470",0,1,0,0,0,0,0.965422085411014,1.96542208541101,"activation"
"AT3G16280","AP2/ERF-ERF","AT3G50860",0,1,0,0,0,0,0.965405310194718,1.96540531019472,"repression"
"AT5G54230","MYB","AT4G11650",0,1,0,0,0,0,0.965367565958054,1.96536756595805,"activation"
"AT1G77200","AP2/ERF-ERF","AT1G61010",0,1,0,0,0,0,0.965296271288798,1.9652962712888,"activation"
"AT1G77200","AP2/ERF-ERF","AT1G72090",0,1,0,0,0,0,0.965258527052133,1.96525852705213,"activation"
"AT1G77200","AP2/ERF-ERF","AT1G51510",0,1,0,0,0,0,0.965057224456588,1.96505722445659,"activation"
"AT3G16280","AP2/ERF-ERF","AT1G16070",0,1,0,0,0,0,0.964847534252895,1.96484753425289,"activation"
"AT3G16280","AP2/ERF-ERF","AT5G35410",0,1,0,0,0,0,0.964826565232525,1.96482656523253,"activation"
"AT1G77200","AP2/ERF-ERF","AT4G36620",0,1,0,0,0,0,0.964805596212156,1.96480559621216,"activation"
"AT1G77200","AP2/ERF-ERF","AT2G19570",0,1,0,0,0,0,0.964746882955122,1.96474688295512,"repression"
"AT1G77200","AP2/ERF-ERF","AT3G59220",0,1,0,0,0,0,0.96470075111031,1.96470075111031,"repression"
"AT3G16280","AP2/ERF-ERF","AT3G14990",0,1,0,0,0,0,0.964663006873645,1.96466300687365,"repression"
"AT5G54230","MYB","AT4G13860",0,1,0,0,0,0,0.964621068832906,1.96462106883291,"activation"
"AT3G16280","AP2/ERF-ERF","AT1G73760",0,1,0,0,0,0,0.964537192751429,1.96453719275143,"activation"
"AT1G77200","AP2/ERF-ERF","AT5G07290",0,1,0,0,0,0,0.96451622373106,1.96451622373106,"repression"
"AT3G16280","AP2/ERF-ERF","AT4G02330",0,1,0,0,0,0,0.964512029926986,1.96451202992699,"activation"
"AT3G16280","AP2/ERF-ERF","AT2G44360",0,1,0,0,0,0,0.964474285690321,1.96447428569032,"repression"
"AT5G54230","MYB","AT3G55450",0,1,0,0,0,0,0.964335890155884,1.96433589015588,"activation"
"AT5G54230","MYB","AT3G44980",0,1,0,0,0,0,0.964302339723293,1.96430233972329,"activation"
"AT1G77200","AP2/ERF-ERF","AT4G19150",0,1,0,0,0,0,0.964293952115145,1.96429395211515,"activation"
"AT3G16280","AP2/ERF-ERF","AT1G73440",0,1,0,0,0,0,0.964260401682554,1.96426040168255,"activation"
"AT3G16280","AP2/ERF-ERF","AT1G64580",0,1,0,0,0,0,0.964252014074407,1.96425201407441,"repression"
"AT3G16280","AP2/ERF-ERF","AT4G34640",0,1,0,0,0,0,0.964205882229594,1.96420588222959,"activation"
"AT5G54230","MYB","AT4G14440",0,1,0,0,0,0,0.964130393756265,1.96413039375626,"activation"
"AT3G16280","AP2/ERF-ERF","AT1G20490",0,1,0,0,0,0,0.963887153119981,1.96388715311998,"activation"
"AT3G16280","AP2/ERF-ERF","AT4G08390",0,1,0,0,0,0,0.963828439862947,1.96382843986295,"repression"
"AT1G77200","AP2/ERF-ERF","AT3G62260",0,1,0,0,0,0,0.963820052254799,1.9638200522548,"repression"
"AT1G77200","AP2/ERF-ERF","AT2G29580",0,0,1,0,0,1,0.963790695626282,1.96379069562628,"activation"
"AT1G77200","AP2/ERF-ERF","AT1G09570",0,1,0,0,0,0,0.963786501822208,1.96378650182221,"activation"
"AT5G54230","MYB","AT2G22510",0,1,0,0,0,0,0.963757145193691,1.96375714519369,"activation"
"AT5G54230","MYB","AT1G64690",0,1,0,0,0,0,0.963715207152952,1.96371520715295,"activation"
"AT1G77200","AP2/ERF-ERF","AT1G11545",0,1,0,0,0,0,0.963690044328509,1.96369004432851,"activation"
"AT1G77200","AP2/ERF-ERF","AT4G27240",0,1,0,0,0,0,0.963576811618515,1.96357681161851,"activation"
"AT3G16280","AP2/ERF-ERF","AT4G33905",0,1,0,0,0,0,0.963560036402219,1.96356003640222,"repression"
"AT3G16280","AP2/ERF-ERF","AT4G08850",0,1,0,0,0,0,0.963530679773702,1.9635306797737,"activation"
"AT3G16280","AP2/ERF-ERF","AT1G29700",0,1,0,0,0,0,0.963509710753333,1.96350971075333,"activation"
"AT5G54230","MYB","AT2G04350",0,1,0,0,0,0,0.963320989570009,1.96332098957001,"activation"
"AT3G16280","AP2/ERF-ERF","AT4G00270",0,1,0,0,0,0,0.963316795765935,1.96331679576594,"repression"
"AT5G54230","MYB","AT4G39950",0,1,0,0,0,0,0.963253888704828,1.96325388870483,"activation"
"AT1G77200","AP2/ERF-ERF","AT5G42010",0,1,0,0,0,0,0.96324550109668,1.96324550109668,"repression"
"AT5G54230","MYB","AT2G44230",0,1,0,0,0,0,0.963140655994833,1.96314065599483,"activation"
"AT3G16280","AP2/ERF-ERF","AT3G27870",0,1,0,0,0,0,0.963132268386686,1.96313226838669,"activation"
"AT1G77200","AP2/ERF-ERF","AT2G01120",0,1,0,0,0,0,0.963027423284839,1.96302742328484,"activation"
"AT5G54230","MYB","AT1G64750",0,1,0,0,0,0,0.963010648068544,1.96301064806854,"repression"
"AT5G54230","MYB","AT5G56030",0,1,0,0,0,0,0.962998066656322,1.96299806665632,"repression"
"AT5G54230","MYB","AT1G64620",0,1,0,0,0,0,0.962909996770771,1.96290999677077,"activation"
"AT3G16280","AP2/ERF-ERF","AT2G17890",0,1,0,0,0,0,0.962893221554475,1.96289322155448,"activation"
"AT5G54230","MYB","AT4G36670",0,1,0,0,0,0,0.962817733081146,1.96281773308115,"activation"
"AT3G16280","AP2/ERF-ERF","AT5G47420",0,1,0,0,0,0,0.962654174722265,1.96265417472227,"activation"
"AT3G16280","AP2/ERF-ERF","AT1G55760",0,1,0,0,0,0,0.962545135816345,1.96254513581634,"repression"
"AT3G16280","AP2/ERF-ERF","AT1G03055",0,1,0,0,0,0,0.962536748208197,1.9625367482082,"repression"
"AT1G77200","AP2/ERF-ERF","AT3G18520",0,1,0,0,0,0,0.962461259734868,1.96246125973487,"activation"
"AT1G77200","AP2/ERF-ERF","AT4G38180",0,1,0,0,0,0,0.962427709302277,1.96242770930228,"activation"
"AT5G54230","MYB","AT1G19300",0,1,0,0,0,0,0.962402546477834,1.96240254647783,"activation"
"AT1G77200","AP2/ERF-ERF","AT5G04540",0,1,0,0,0,0,0.962314476592283,1.96231447659228,"repression"
"AT1G77200","AP2/ERF-ERF","AT2G17840",0,1,0,0,0,0,0.962247375727101,1.9622473757271,"repression"
"AT1G77200","AP2/ERF-ERF","AT5G25890",0,1,0,0,0,0,0.962192856274141,1.96219285627414,"repression"
"AT5G54230","MYB","AT4G18550",0,1,0,0,0,0,0.962188662470067,1.96218866247007,"activation"
"AT1G77200","AP2/ERF-ERF","AT2G36680",0,1,0,0,0,0,0.96208381736822,1.96208381736822,"repression"
